,alginate,,alg+Ac,,AC,,a1,a2,a3,a4,a5,a6,a7,a8
4400,69.298881,,73.348605,,64.861789,,70.912033,62.298443,63.816798,73.104623,67.825154,63.334624,42.593291,39.95843
4398,69.291704,,73.338817,,64.860985,,70.912838,62.325203,63.788033,73.102305,67.808344,63.324649,42.605989,39.7792
4396,69.292437,,73.323503,,64.824276,,70.913306,62.343196,63.762329,73.107246,67.789325,63.31066,42.612858,39.643658
4394,69.301185,,73.30539,,64.758852,,70.913565,62.352886,63.739683,73.113999,67.770293,63.296671,42.610973,39.484662
4392,69.314219,,73.292586,,64.675453,,70.906138,62.34887,63.72618,73.119801,67.755641,63.280679,42.594483,39.432994
4390,69.331759,,73.287902,,64.588357,,70.898015,62.337485,63.724269,73.121912,67.74317,63.266695,42.569271,39.389088
4388,69.344306,,73.296915,,64.518937,,70.884385,62.317243,63.728444,73.114937,67.73727,63.252716,42.529494,39.45039
4386,69.355949,,73.317298,,64.470739,,70.868015,62.28737,63.735655,73.102443,67.735742,63.240747,42.489811,39.551639
4384,69.358996,,73.341503,,64.465076,,70.851672,62.262397,63.748938,73.090052,67.734195,63.232795,42.450221,39.693677
4382,69.355358,,73.362031,,64.491241,,70.838116,62.242965,63.762207,73.081597,67.732631,63.228859,42.422421,39.845604
4380,69.342935,,73.373998,,64.566962,,70.830103,62.231042,63.775461,73.082172,67.728856,63.22894,42.41224,39.944804
4378,69.32345,,73.38033,,64.660226,,70.824862,62.22468,63.782628,73.083656,67.722873,63.229027,42.416728,40.033079
4376,69.298362,,73.373055,,64.756828,,70.819628,62.219974,63.777648,73.077953,67.714684,63.225115,42.435861,39.996344
4374,69.269674,,73.359918,,64.839041,,70.808879,62.216933,63.763569,73.064922,67.704289,63.2152,42.460863,39.908994
4372,69.23531,,73.336871,,64.885629,,70.798135,62.209691,63.740405,73.033903,67.6895,63.197282,42.488806,39.705733
4370,69.202965,,73.318706,,64.903742,,70.78188,62.20413,63.711198,73.000627,67.679082,63.179379,42.508025,39.416354
4368,69.172597,,73.306639,,64.889893,,70.768384,62.20026,63.682014,72.965008,67.668652,63.161492,42.518531,39.070625
4366,69.150013,,73.302975,,64.857701,,70.754886,62.202008,63.65588,72.934865,67.662589,63.151638,42.514514,38.667072
4364,69.137148,,73.310133,,64.815508,,70.746892,62.2133,63.638845,72.918012,67.66089,63.15382,42.493083,38.236298
4362,69.130111,,73.314704,,64.773356,,70.738887,62.228271,63.624846,72.91962,67.663554,63.156018,42.460084,37.840644
4360,69.130842,,73.316626,,64.734782,,70.73362,62.248887,63.622949,72.939596,67.668389,63.160237,42.421351,37.479522
4358,69.135454,,73.297311,,64.71391,,70.725583,62.273199,63.621049,72.975224,67.673207,63.158466,42.388517,37.246714
4356,69.143947,,73.256772,,64.707182,,70.717526,62.297298,63.628207,73.026426,67.680195,63.148705,42.361575,37.14154
4354,69.148551,,73.213576,,64.718106,,70.706699,62.319231,63.635354,73.074739,67.682793,63.138967,42.349226,37.132045
4352,69.14927,,73.167723,,64.7396,,70.695848,62.335089,63.642488,73.117555,67.683189,63.129253,42.354351,37.155145
4350,69.142221,,73.137749,,64.764595,,70.687718,62.342919,63.652627,73.141821,67.681386,63.127573,42.374021,37.210577
4348,69.129348,,73.120989,,64.793085,,70.682303,62.344689,63.66275,73.14516,67.679571,63.133925,42.405317,37.235605
4346,69.114535,,73.112137,,64.803928,,70.68234,62.336488,63.672858,73.124973,67.673373,63.144306,42.442425,37.261367
4344,69.099723,,73.113829,,64.797148,,70.687821,62.322243,63.685963,73.086521,67.66935,63.160716,42.476645,37.287697
4342,69.090733,,73.112833,,64.765732,,70.701478,62.303922,63.70206,73.035043,67.665315,63.175151,42.499296,37.283285
4340,69.089503,,73.117081,,64.716749,,70.720559,62.283492,63.715125,72.97839,67.66127,63.18561,42.513289,37.279169
4338,69.092152,,73.118641,,64.664287,,70.736833,62.262923,63.725163,72.919167,67.657215,63.190095,42.512852,37.306272
